Industry,Total,Mean,Count
Technology,1549.65,21.82605633802817,71
Industrial,778.66,13.425172413793103,58
Diversified,692.49,12.82388888888889,54
Finance,577.38,9.786101694915255,59
Consumer,560.76,16.992727272727272,33
Retail,498.49,16.616333333333333,30
Food & Beverage,407.71999999999997,13.152258064516127,31
Energy,367.93,10.512285714285715,35
Real Estate,293.33,8.888787878787879,33
Health Care,248.35,8.563793103448276,29
Commodities,218.03,11.475263157894737,19
Media & Telecom,173.07,6.9228,25
Entertainment,113.59,9.465833333333334,12
Services,109.87,9.988181818181818,11
